Id;Image;Option1;Option2;Option3;Option4;Gender;Answer
Practise;I02_Practise.png;jealous;panicked;arrogant;hateful;M;panicked
Face01;I02_Face01.png;playful;comforting;irritated;bored;M;playful
Face02;I02_Face02.png;terrified;upset;arrogant;annoyed;M;upset
Face03;I02_Face03.png;joking;flustered;desire;convinced;F;desire
Face04;I02_Face04.png;joking;insisting;amused;relaxed;M;insisting
Face05;I02_Face05.png;irritated;sarcastic;worried;friendly;M;worried
Face06;I02_Face06.png;aghast;fantasizing;impatient;alarmed;F;fantasizing
Face07;I02_Face07.png;apologetic;friendly;uneasy;dispirited;M;uneasy
Face08;I02_Face08.png;despondent;relieved;shy;excited;M;despondent
Face09;I02_Face09.png;annoyed;hostile;horrified;preoccupied;F;preoccupied
Face10;I02_Face10.png;cautious;insisting;bored;aghast;M;cautious
Face11;I02_Face11.png;terrified;amused;regretful;flirtatious;M;regretful
Face12;I02_Face12.png;indifferent;embarrassed;sceptical;dispirited;M;sceptical
Face13;I02_Face13.png;decisive;anticipating;threatening;shy;M;anticipating
Face14;I02_Face14.png;irritated;disappointed;depressed;accusing;M;accusing
Face15;I02_Face15.png;contemplative;flustered;encouraging;amused;F;contemplative
Face16;I02_Face16.png;irritated;thoughtful;encouraging;sympathetic;M;thoughtful
Face17;I02_Face17.png;doubtful;affectionate;playful;aghast;F;doubtful
Face18;I02_Face18.png;decisive;amused;aghast;bored;F;decisive
Face19;I02_Face19.png;arrogant;grateful;sarcastic;tentative;F;tentative
Face20;I02_Face20.png;dominant;friendly;guilty;horrified;M;friendly
Face21;I02_Face21.png;embarrassed;fantasizing;confused;panicked;F;fantasizing
Face22;I02_Face22.png;preoccupied;grateful;insisting;imploring;F;preoccupied
Face23;I02_Face23.png;contented;apologetic;defiant;curious;M;defiant
Face24;I02_Face24.png;pensive;irritated;excited;hostile;M;pensive
Face25;I02_Face25.png;panicked;incredulous;despondent;interested;F;interested
Face26;I02_Face26.png;alarmed;shy;hostile;anxious;M;hostile
Face27;I02_Face27.png;joking;cautious;arrogant;reassuring;F;cautious
Face28;I02_Face28.png;interested;joking;affectionate;contented;F;interested
Face29;I02_Face29.png;impatient;aghast;irritated;reflective;F;reflective
Face30;I02_Face30.png;grateful;flirtatious;hostile;disappointed;F;flirtatious
Face31;I02_Face31.png;ashamed;confident;joking;dispirited;F;confident
Face32;I02_Face32.png;serious;ashamed;bewildered;alarmed;M;serious
Face33;I02_Face33.png;embarrassed;guilty;fantasizing;concerned;M;concerned
Face34;I02_Face34.png;aghast;baffled;distrustful;terrified;F;distrustful
Face35;I02_Face35.png;puzzled;nervous;insisting;contemplative;F;nervous
Face36;I02_Face36.png;ashamed;nervous;suspicious;indecisive;M;suspicious
